target,fold,seed,logloss,mean,std
Q2,3,7,0.6379314926915383,0.5797437479301609,0.03482170127308034
Q2,4,7,0.5800773672593442,0.5797437479301609,0.03482170127308034
Q2,0,314,0.6073054550425909,0.5797437479301609,0.03482170127308034
Q2,1,314,0.6295470722780118,0.5797437479301609,0.03482170127308034
Q2,2,314,0.5559647895272063,0.5797437479301609,0.03482170127308034
Q2,3,314,0.5794967821077468,0.5797437479301609,0.03482170127308034
Q2,4,314,0.6094039089659812,0.5797437479301609,0.03482170127308034
Q2,0,2025,0.5891808684633929,0.5797437479301609,0.03482170127308034
Q2,1,2025,0.6003230291904458,0.5797437479301609,0.03482170127308034
Q2,2,2025,0.6060692540284771,0.5797437479301609,0.03482170127308034
Q2,3,2025,0.5958712174529334,0.5797437479301609,0.03482170127308034
Q2,4,2025,0.6273944959663581,0.5797437479301609,0.03482170127308034
Q2,0,777,0.617934034511319,0.5797437479301609,0.03482170127308034
Q2,1,777,0.5362639821565695,0.5797437479301609,0.03482170127308034
Q2,2,777,0.6023885238582645,0.5797437479301609,0.03482170127308034
Q2,3,777,0.6100693762716858,0.5797437479301609,0.03482170127308034
Q2,4,777,0.5713142340012672,0.5797437479301609,0.03482170127308034
Q2,0,555,0.5712685471720563,0.5797437479301609,0.03482170127308034
Q2,1,555,0.6478285680539455,0.5797437479301609,0.03482170127308034
Q2,2,555,0.6065310325672185,0.5797437479301609,0.03482170127308034
Q2,3,555,0.6381108337336616,0.5797437479301609,0.03482170127308034
Q2,4,555,0.591325551474249,0.5797437479301609,0.03482170127308034
Q3,0,42,0.5143422599351585,0.5857936359348704,0.03473557060512154
Q3,1,42,0.5932362703902954,0.5857936359348704,0.03473557060512154
Q3,2,42,0.5515245944052467,0.5857936359348704,0.03473557060512154
Q3,3,42,0.6676251176411369,0.5857936359348704,0.03473557060512154
Q3,4,42,0.6229736410184067,0.5857936359348704,0.03473557060512154
Q3,0,1234,0.57981307705917,0.5857936359348704,0.03473557060512154
Q3,1,1234,0.579492331582777,0.5857936359348704,0.03473557060512154
Q3,2,1234,0.6040129533231299,0.5857936359348704,0.03473557060512154
Q3,3,1234,0.5911173962859562,0.5857936359348704,0.03473557060512154
Q3,4,1234,0.6229848579920583,0.5857936359348704,0.03473557060512154
Q3,0,9999,0.613590917394575,0.5857936359348704,0.03473557060512154
Q3,1,9999,0.612072948259774,0.5857936359348704,0.03473557060512154
Q3,2,9999,0.6182405329098941,0.5857936359348704,0.03473557060512154
Q3,3,9999,0.6337564803295573,0.5857936359348704,0.03473557060512154
Q3,4,9999,0.5496368835760145,0.5857936359348704,0.03473557060512154
Q3,0,7,0.6150133329868223,0.5857936359348704,0.03473557060512154
Q3,1,7,0.5664950112072313,0.5857936359348704,0.03473557060512154
Q3,2,7,0.5989911254770092,0.5857936359348704,0.03473557060512154
Q3,3,7,0.6171607667574905,0.5857936359348704,0.03473557060512154
Q3,4,7,0.6061427882673095,0.5857936359348704,0.03473557060512154
Q3,0,314,0.6211201467413784,0.5857936359348704,0.03473557060512154
Q3,1,314,0.5339363504606705,0.5857936359348704,0.03473557060512154
Q3,2,314,0.6405035748846324,0.5857936359348704,0.03473557060512154
Q3,3,314,0.5953138411208075,0.5857936359348704,0.03473557060512154
Q3,4,314,0.6088648728506015,0.5857936359348704,0.03473557060512154
Q3,0,2025,0.5192338844046115,0.5857936359348704,0.03473557060512154
Q3,1,2025,0.5506910680771465,0.5857936359348704,0.03473557060512154
Q3,2,2025,0.6182898986810115,0.5857936359348704,0.03473557060512154
Q3,3,2025,0.6180823901992492,0.5857936359348704,0.03473557060512154
Q3,4,2025,0.5992950125704201,0.5857936359348704,0.03473557060512154
Q3,0,777,0.6389124332499276,0.5857936359348704,0.03473557060512154
Q3,1,777,0.5623826056159081,0.5857936359348704,0.03473557060512154
Q3,2,777,0.6408978679184714,0.5857936359348704,0.03473557060512154
Q3,3,777,0.6024821040394915,0.5857936359348704,0.03473557060512154
Q3,4,777,0.5396048157537053,0.5857936359348704,0.03473557060512154
Q3,0,555,0.6170823984537446,0.5857936359348704,0.03473557060512154
Q3,1,555,0.6005997234775029,0.5857936359348704,0.03473557060512154
Q3,2,555,0.6001466519635005,0.5857936359348704,0.03473557060512154
Q3,3,555,0.5949563384794098,0.5857936359348704,0.03473557060512154
Q3,4,555,0.6383497194405494,0.5857936359348704,0.03473557060512154
S1,0,42,0.544252167914583,0.5160038457644708,0.03679809397002509
S1,1,42,0.5152204978210007,0.5160038457644708,0.03679809397002509
S1,2,42,0.5448559241296085,0.5160038457644708,0.03679809397002509
S1,3,42,0.4715103750704851,0.5160038457644708,0.03679809397002509
S1,4,42,0.5551586786283095,0.5160038457644708,0.03679809397002509
S1,0,1234,0.5175707802664633,0.5160038457644708,0.03679809397002509
S1,1,1234,0.5264643227744642,0.5160038457644708,0.03679809397002509
S1,2,1234,0.5320227674534895,0.5160038457644708,0.03679809397002509
S1,3,1234,0.5175534706876144,0.5160038457644708,0.03679809397002509
S1,4,1234,0.5321285356771999,0.5160038457644708,0.03679809397002509
S1,0,9999,0.5152226418417291,0.5160038457644708,0.03679809397002509
S1,1,9999,0.4617892926253555,0.5160038457644708,0.03679809397002509
S1,2,9999,0.5257730814999635,0.5160038457644708,0.03679809397002509
S1,3,9999,0.5392433512376728,0.5160038457644708,0.03679809397002509
S1,4,9999,0.5244182923590207,0.5160038457644708,0.03679809397002509
S1,0,7,0.5568471297440991,0.5160038457644708,0.03679809397002509
S1,1,7,0.552730508471531,0.5160038457644708,0.03679809397002509
S1,2,7,0.5171336735005327,0.5160038457644708,0.03679809397002509
S1,3,7,0.4823681931678055,0.5160038457644708,0.03679809397002509
S1,4,7,0.5350856497283047,0.5160038457644708,0.03679809397002509
S1,0,314,0.6208444193089961,0.5160038457644708,0.03679809397002509
S1,1,314,0.5344613944695273,0.5160038457644708,0.03679809397002509
S1,2,314,0.5485423865729135,0.5160038457644708,0.03679809397002509
S1,3,314,0.4896066934702098,0.5160038457644708,0.03679809397002509
S1,4,314,0.4809301747122156,0.5160038457644708,0.03679809397002509
S1,0,2025,0.4776295026553941,0.5160038457644708,0.03679809397002509
S1,1,2025,0.5713166111596828,0.5160038457644708,0.03679809397002509
S1,2,2025,0.5598119248469255,0.5160038457644708,0.03679809397002509
S1,3,2025,0.5673871694930444,0.5160038457644708,0.03679809397002509
S1,4,2025,0.445756958651892,0.5160038457644708,0.03679809397002509
S1,0,777,0.5690563601579497,0.5160038457644708,0.03679809397002509
S1,1,777,0.5079924927714112,0.5160038457644708,0.03679809397002509
S1,2,777,0.541948308055465,0.5160038457644708,0.03679809397002509
S1,3,777,0.5879367493251941,0.5160038457644708,0.03679809397002509
S1,4,777,0.5670382949095085,0.5160038457644708,0.03679809397002509
S1,0,555,0.5306217790640974,0.5160038457644708,0.03679809397002509
S1,1,555,0.5796035992415299,0.5160038457644708,0.03679809397002509
S1,2,555,0.5050902612728679,0.5160038457644708,0.03679809397002509
S1,3,555,0.4672070090561544,0.5160038457644708,0.03679809397002509
S1,4,555,0.5390184987952638,0.5160038457644708,0.03679809397002509
S2,0,42,0.5817747190470572,0.5604306724988698,0.02349064725409024
S2,1,42,0.6011409629048767,0.5604306724988698,0.02349064725409024
S2,2,42,0.5442483437695251,0.5604306724988698,0.02349064725409024
S2,3,42,0.5748026902685138,0.5604306724988698,0.02349064725409024
S2,4,42,0.553058879359798,0.5604306724988698,0.02349064725409024
S2,0,1234,0.590328551722992,0.5604306724988698,0.02349064725409024
S2,1,1234,0.5989301006439504,0.5604306724988698,0.02349064725409024
S2,2,1234,0.5910575633369478,0.5604306724988698,0.02349064725409024
S2,3,1234,0.5356445819883278,0.5604306724988698,0.02349064725409024
S2,4,1234,0.5268500120446485,0.5604306724988698,0.02349064725409024
S2,0,9999,0.5714239507756333,0.5604306724988698,0.02349064725409024
S2,1,9999,0.5513049393476719,0.5604306724988698,0.02349064725409024
S2,2,9999,0.5708314088344957,0.5604306724988698,0.02349064725409024
S2,3,9999,0.5509354063855548,0.5604306724988698,0.02349064725409024
S2,4,9999,0.5827125003340106,0.5604306724988698,0.02349064725409024
S2,0,7,0.5853518495846842,0.5604306724988698,0.02349064725409024
S2,1,7,0.5970772727567423,0.5604306724988698,0.02349064725409024
S2,2,7,0.5890846127889932,0.5604306724988698,0.02349064725409024
S2,3,7,0.5524774234832607,0.5604306724988698,0.02349064725409024
S2,4,7,0.5486088658385204,0.5604306724988698,0.02349064725409024
S2,0,314,0.5703778280155859,0.5604306724988698,0.02349064725409024
S2,1,314,0.5746882830300096,0.5604306724988698,0.02349064725409024
S2,2,314,0.5616707898240422,0.5604306724988698,0.02349064725409024
S2,3,314,0.5808209137447655,0.5604306724988698,0.02349064725409024
